bassetId|title|where|onlineID
96|Respectable Sinners|gb|iOQBAAAAQAAJ
99|Paid in Full: A Novel|gb|mg0CAAAAQAAJ
99|Paid in Full: A Novel|ia|paidinfullnovel03byro
99|Paid in Full: A Novel|ht|uiuo.ark+=13960=t01z4gh18
103|The Mosaic-Worker's Daughter|ia|mosaicworkersdau01cape
103|The Mosaic-Worker's Daughter|ht|uiuo.ark+=13960=t3vt1xh6t
105|Nellie's Memories: A Domestic Story|ht|nyp.33433034410054
109|Fenacre Grange: A Novel|ht|uiuo.ark+=13960=t2h70qm05
110|Chandos: A Novel|ht|uiuo.ark+=13960=t2f76q96p
111|Country Coteries|ia|countrycoteries02chat
111|Country Coteries|ht|uiuo.ark+=13960=t75t3xd3p
112|The Heiress and Her Lovers: A Novel|ht|nyp.33433074970660
117|Miss Marjoribanks|ia|missmarjoribanks03olip
117|Miss Marjoribanks|pg|41286
117|Miss Marjoribanks|ht|uiuo.ark+=13960=t3hx1x46t
118|The Perpetual Curate|ia|perpetualcurate01olip
118|The Perpetual Curate|pg|28006
118|The Perpetual Curate|ht|dul1.ark+=13960=t3126pp23
119|Church and Chapel|gb|VeUBAAAAQAAJ
120|Clara Vaughan: A Novel|ht|nyp.33433074939954
122|Charlie Thornhill: or, The Dunce of the Family. A Novel|ia|charliethornhill03clar
122|Charlie Thornhill: or, The Dunce of the Family. A Novel|ht|uiuo.ark+=13960=t04x5m49t
125|Cruel Fortune|ia|cruelfortuneinth03clay
125|Cruel Fortune|ht|uiuo.ark+=13960=t3zs3707n
127|The Co-Heiress: A Novel|ia|coheiressnovel03maug
127|The Co-Heiress: A Novel|ht|uiuo.ark+=13960=t06w9wj8t
129|The Man in Chains|ia|maninchains01coll
129|The Man in Chains|ht|uiuo.ark+=13960=t51g10g6v
130|Sackville Chase|ia|sackvillechase01coll
130|Sackville Chase|ht|uiuo.ark+=13960=t19k4n86k
132|Marquis and Merchant|ia|marquismerchant02coll
132|Marquis and Merchant|ht|uiuo.ark+=13960=t13n2fw29
133|Sweet Anne Page|ia|sweetannepage03coll
133|Sweet Anne Page|ht|njp.32101066457399
134|The Vivian Romance|ht|nyp.33433074947304
135|Who is the Heir?: A Novel|ht|njp.32101066457449
136|The Moonstone: A Romance|ia|moonstoneromance03coll
136|The Moonstone: A Romance|pg|155
136|The Moonstone: A Romance|ht|inu.30000007708815
137|Man and Wife: A Novel|ia|manwifenovel02coll
137|Man and Wife: A Novel|pg|1586
137|Man and Wife: A Novel|ht|uc2.ark+=13960=t3cz32t69
138|No Name|ia|noname03coll
138|No Name|pg|1438
138|No Name|ht|uc1.b182850
139|Leo: A Novel|ia|leonovel03cook
139|Leo: A Novel|ht|uiuo.ark+=13960=t1jh3vx0s
144|A County Family|ht|nyp.33433075749527
145|Esther Hill's Secret|ht|coo.31924013523372
150|False Colours: A Novel|ia|falsecolorsnovel02thom
159|Elsie's Married Life: A Tale|ia|elsiesmarriedlif03dani
159|Elsie's Married Life: A Tale|ht|uiuo.ark+=13960=t10p1dn4r
165|Love the Avenger|ht|nyp.33433075819635
168|Mildred's Wedding: A Family History|gb|ac0BAAAAQAAJ
168|Mildred's Wedding: A Family History|ht|nyp.33433074964499
169|Olive Varcoe|ht|nyp.33433034410666
172|Desperate Remedies: A Novel|pg|3044
172|Desperate Remedies: A Novel|ht|njp.32101068152857
174|Dina: or, Familiar Faces|gb|kg8CAAAAQAAJ
174|Dina: or, Familiar Faces|ia|dinaorfamiliarfa03wilk
174|Dina: or, Familiar Faces|ht|uiuo.ark+=13960=t6058760s
175|Lothair|pg|7835
175|Lothair|ht|mdp.39015063928496
177|Doctor Jacob|ht|nyp.33433074939293
179|Dorothy Firebrace: or, The Armourer's Daughter of Birmingham|ia|dorothyfirebrace01robi
179|Dorothy Firebrace: or, The Armourer's Daughter of Birmingham|ht|uc2.ark+=13960=t9959j26m
181|Deep Waters: A Novel|ia|deepwatersnovel03drur
181|Deep Waters: A Novel|ht|uiuo.ark+=13960=t39z9hj0v
183|Barbara's History|ia|barbarashistory02edwa
183|Barbara's History|ht|njp.32101075374288
184|Debenham's Vow|ia|debenhamsvow03edwa
184|Debenham's Vow|ht|njp.32101068177615
185|Half a Million of Money: A Novel|ia|halfmillionofmon02edwa
185|Half a Million of Money: A Novel|ht|uc1.b3324295
186|Miss Carew|ia|misscarew01edwa
