id,when,sex,vols,counter
B269,T2,M,3,1
B270,T2,M,3,1
B271,T2,M,3,1
B272,T2,M,3,1
B273,T2,F,3,1
B274,T2,F,3,1
B275,T2,M,3,1
B276,T2,U,3,1
B277,T2,F,3,1
B278,T2,M,3,1
B279,T2,M,3,1
B280,T2,M,3,1
B281,T2,M,3,1
B282,T2,M,3,1
B283,T2,M,3,1
B284,T2,M,3,1
B285,T2,M,3,1
B286,T2,F,3,1
B287,T2,F,3,1
B288,T2,F,3,1
B289,T2,M,3,1
B290,T2,M,3,1
B291,T2,F,3,1
B292,T2,F,3,1
B293,T2,F,3,1
B294,T2,F,3,1
B295,T2,F,3,1
B296,T2,F,3,1
B297,T2,M,3,1
B298,T2,F,3,1
B299,T2,M,3,1
B300,T2,M,3,1
B301,T2,M,3,1
B302,T2,F,3,1
B303,T2,F,3,1
B304,T2,M,3,1
B305,T2,F,3,1
B306,T2,F,3,1
B307,T2,F,3,1
B308,T2,M,3,1
B309,T2,M,3,1
B310,T2,M,3,1
B311,T2,M,3,1
B312,T2,M,3,1
B313,T2,F,3,1
B314,T2,M,3,1
B315,T2,F,3,1
B316,T2,M,3,1
B317,T2,M,3,1
B318,T2,M,3,1
B319,T2,F,3,1
B320,T2,F,3,1
B321,T2,U,3,1
B322,T2,M,3,1
B323,T2,M,3,1
B324,T2,M,3,1
B325,T2,F,3,1
B326,T2,F,3,1
B327,T2,F,3,1
B328,T2,F,3,1
B329,T2,F,3,1
B330,T2,M,3,1
B331,T2,M,3,1
B332,T2,M,3,1
B333,T2,M,3,1
B334,T2,F,3,1
B335,T2,F,3,1
B336,T2,F,3,1
B337,T2,M,3,1
B338,T2,M,3,1
B339,T2,M,3,1
B340,T2,M,3,1
B341,T2,M,3,1
B342,T2,M,3,1
B343,T2,F,3,1
B344,T2,M,3,1
B345,T2,F,3,1
B346,T2,M,3,1
B347,T2,F,3,1
B348,T2,M,3,1
B349,T2,F,3,1
B350,T2,F,3,1
B351,T2,M,3,1
B352,T2,M,3,1
B353,T2,M,3,1
B354,T2,F,3,1
B355,T2,F,3,1
B356,T2,F,3,1
B357,T2,M,3,1
B358,T2,M,3,1
B359,T2,F,3,1
B360,T2,F,3,1
B361,T2,F,3,1
B362,T2,F,3,1
B363,T2,F,3,1
B364,T2,F,3,1
B365,T2,F,3,1
B366,T2,M,3,1
B367,T2,F,3,1
B368,T2,F,3,1
B369,T2,F,3,1
B370,T2,F,3,1
B371,T2,M,3,1
B372,T2,M,3,1
B373,T2,M,3,1
B374,T2,M,3,1
B375,T2,M,3,1
B376,T2,U,3,1
B377,T2,M,3,1
B379,T2,M,3,1
B380,T2,F,3,1
B381,T2,M,3,1
B382,T2,M,3,1
B383,T2,M,3,1
B384,T2,U,3,1
B385,T2,F,3,1
B386,T2,F,3,1
B387,T2,F,3,1
B388,T2,M,3,1
B389,T2,M,3,1
B390,T2,M,3,1
B391,T2,M,3,1
B392,T2,M,3,1
B393,T2,M,3,1
B394,T2,M,3,1
B395,T2,M,3,1
B396,T2,M,3,1
B397,T2,M,3,1
B398,T2,M,3,1
B399,T2,M,3,1
B400,T2,M,3,1
B401,T2,M,3,1
B402,T2,M,3,1
B403,T2,F,3,1
B404,T2,M,3,1
B405,T2,M,3,1
B406,T2,M,3,1
B407,T2,M,3,1
