anisleofsurrey|Dowling
anoceantragedy|Russell
anoldcountryhouseanovel|Grey
anoldfamilylegendoronehusbandandtwomarriages|Brewer
anoldmaidsloveadutchtaletoldinenglish|Maartens
anopenfoearomance|Sergeant
anopenverdict|Braddon
anunfortunatearrangement|Hill
anastasius|Hope
anastasiusormemoirsofagreek|Hope
anastasius|Hope
anderida|
andrewdeverel|Reid
angelapisani|Strangford
angelaanovel|Marsh-Caldwell
angeloguicciardiniorthebanditofthealps|Francis
angelolyonsanovel|Platt
ankerwickcastle|Croffts
annalsofaquietneighbourhood|MacDonald
annehereford|Wood
annejudgespinster|Robinson
anneseverin|Craven
annesherwood|Aikin-Kortright
anneofgeiersteinorthemaidenofthemist|Scott
annette|Deacon
anniejenningsanovel|Gore
anniswarleighsfortunes|Lee
anselmo|Hill
anticoningsby|North
antidelphine|Byron
antipathyortheconfessionsofacathater|Ainslie
antipodesorthenewexistence|
antoninaorthefallofrome|Collins
appledorefarm|Macquoid
approaches|Lynch
aprilslady|Duchess
arabellastuartaromancefromenglishhistory|James
ardath|Corelli
ardenanovel|Robinson
ardent|Wilmot
aretas|Parker
ariadnê|Ouida
armadale|
arminellasocialromance|Baring-Gould
armoreloflyonesse|Besant
arnoldrobur|
arrahneil|James
arthurconway|Milman
arthurmontagueoranonlysonatsea|Hawker
arthuroleary|Lever
arthuroraknightofourownday|Neville
artingalecastle|Trollope
artlesstales|Hurry
arundel|Vincent
aslongasshelived|Robinson
asphodelanovel|Braddon
astonroyal|Tabor
asylumchristi|Gilliat
atfault|Smart
athermercyanovel|
athisgatesanovel|Oliphant
athomeandabroad|Eaton
athomeanovel|Burdett
atodds|Tautphoeus
atsocietysexpense|Gissing
atthebar|Collins
atthemomentofvictory|Pirkis
attheredglove|Macquoid
athertonandothertales|Mitford
attila|James
aubrey|Marsh-Caldwell
auntanne|Clifford
auntdorothystaleorgeraldinemorton|Chatterton
austinfriars|Riddell
autcaesarautnihil|Bothmer
autobiographyofanenglishdetective|Russell
autumnmanoeuvres|Moore
avillionandothertales|Craik
badluck|De Fonblanque
baitingthetrap|Middlemass
barabbas|Corelli
barbaraphilpot|Wingfield
barbarashistory|Edwards
barnabyrudge|Dickens
barnadiston|
basil|Collins
basilgodfreyscaprice|Lee
basilandannette|Farjeon
bath|Brown
bayronald|Crommelin
beatingtheair|Burke
beatriceandbenedick|Smart
beatriceortheunknownrelatives|Sinclair
beauchampscareer|Meredith
beauchamp|James
beaufordorapictureofhighlife|Card
beautyandthebeast|Tytler
beechcroftatrockstone|Yonge
beggarmyneighbor|
belforest|Manning
bellegardetheadoptedindianboy|
belmour|Damer
belowthesurface|Elton
benbrace|Chamier
beneaththewheels|
bentleypriory|Parker
beppotheconscript|Trollope
berkeleythebankerorbanknotesandbullion|Martineau
bernaboyle|Riddell
berthasearl|Lindsay
berthasearlanovel|Lindsay
berthaaromanceofthedarkages|MacCabe
besidetheriver|Macquoid
bethesda|Halsted
betweentheactsanovel|Stocker
betweentwoopinions|Gissing
betwixttwolovers|Hamilton
bevis|Jefferies
beyminstre|Wallace
biancacapello|Lytton
bibliographyofstatelandresourcesplanning19601974|Hess
billybellew|Norris
birdsofprey|Braddon
bitteristherind|Smart
bittersweets|Hatton
blackbessortheknightoftheroad|Viles
blacksheepanovel|Yates
blackfriars|Stephens
blairathol|Blinkhoolie
bleakhouse|Dickens
blightedambitionortheriseandfalloftheearlofsomerset|
blindfateanovel|Alexander
blindlove|
blondelparva|
blounttempest|Bellew
blueandgreenorthegiftofgod|Pottinger
bluestockinghall|Scargill
blueskin|Viles
bodyandsoul|Wilkins
bondandfree|Jolly
bonniekateastoryfromawomanspointofview|Laffan
borderland|Fothergill
borninexileanovel|Gissing
boundtoplease|Spicer
boundtowin|Smart
boundtogethertales|Conway
bridalofdunamore|Roche
bridget|Edwards
brightoninanuproar|Moriarty
brighton|Brown
brimelsea|
britomartanovel|Martin
brokenbonds|Smart
brokenfetters|Trollope
brokentoharness|Yates
brownasaberryanovel|Douglas
brownlows|Oliphant
burieddiamonds|Tytler
bushlifeinqueensland|Grant
byandby|
bybirthaladyatale|Fenn
byproxy|Payn
bythecornishsea|Isabell
bythegateofthesea|Christie-Murray
bywomansfavour|Erroll
caesarborgia|Robinson
calebstukely|Phillips
calthorpe|Gaspey
cambrianpicturesoreveryonehaserrors|Hatton
canitbetrue|Cliffe
cancelledbonds|Cresswell
canterburytales|
caprice|
captainhavertyswooing|Trollope
captainherbert|
carità|Oliphant
carletongrange|Neil
carlyonsyear|
cartouchethecelebratedfrenchrobber|Peake
casimirmaremma|Helps
castawayanovel|Yates
castleavon|Marsh-Caldwell
casualtiesanovel|Goldsmith
cathalmore|Arami
caughtinatrap|Hutcheson
cavalrylifeorsketchesandstoriesinbarracksandout|Winter
cecilstrystanovel|Payn
cecilapeer|Gore
cecilortheadventuresofacoxcomb|Gore
cecile|Smart
celiainsearchofahusband|Byron
celinaorthewidowedbride|Hook
ceriseataleofthelastcentury|Whyte-Melville
chancesandchanges|Strutt
chandosanovel|Ouida
chantilly|L
chantryhouse|Yonge
charlesauchester|
charlesomalleytheirishdragoon|Lever
charlesstanley|Grant
charlesvernon|Senior
charlie|Woodward
charliethornhill|Clarke
charlievillarsatcambridge|Tottenham
charlottesinheritance|Braddon
chatsworth|Patmore
cheapjackzita|Baring-Gould
cheveley|Lytton
childrenofgibeon|Besant
childrenschildren|Muir
christabelle|Cartwright
christinanorth|Towle
chroniclesofdustypore|Cunningham
chroniclesofwesterly|Fuller
chroniclesofthecanongatesecondseries|Scott
chums|
citoyennejacqueline|Tytler
clairebrandonanovel|Marshall
clanalbin|Johnstone
claragazulorhonisoitquimalypense|Wilson
claraharrington|
claravaughananovel|Blackmore
clareabbeyorthetrialsofyouth|Ponsonby
